From	Entry	GeneID	Organism	Entry Name	Interacts with
B3GNT7	Q8NFL0	93010;	Homo sapiens (Human)	B3GN7_HUMAN	Q8TDT2
CCDC50	Q8IVM0	152137;	Homo sapiens (Human)	CCD50_HUMAN	Q96B67; Q6GQQ9; Q13546; O76064; Q99961; P0CG47
DDRGK1	Q96HY6	65992;	Homo sapiens (Human)	DDRGK_HUMAN	P13569
PTPMT1	Q8WUK0	114971;	Homo sapiens (Human)	PTPM1_HUMAN	Q6UY14-3; A8MQ03; P28799; Q15323; O76011; Q6A162; Q8IUG1; P60409; P60410; P60411; P60328; P0C7H8; Q9BYR8; Q9BQ66; Q6L8G8; P26371; Q9BYQ4; Q9BYQ3; Q5TA81; Q99750; Q5JR59; Q7Z3S9; P0DPK4; O76081-6; Q8IUQ4; Q9NUH8; P14373
NDUFA2	O43678	4695;	Homo sapiens (Human)	NDUA2_HUMAN	
AASDH	Q4L235	132949;	Homo sapiens (Human)	ACSF4_HUMAN	
DPYS	Q14117	1807;	Homo sapiens (Human)	DPYS_HUMAN	Q92624; P46379-2; P28329-3; O14645; P22607; Q14957; P06396; P01112; O14901; Q9BVL2; Q9UMX0
ERCC2	P18074	2068;	Homo sapiens (Human)	ERCC2_HUMAN	O76071; Q9Y3D0; P19447; Q13888; Q6P1K8; Q96T76
LTBP3	Q9NS15	4054;	Homo sapiens (Human)	LTBP3_HUMAN	
PACS2	Q86VP3	23241;	Homo sapiens (Human)	PACS2_HUMAN	
PLEKHA6	Q9Y2H5	22874;	Homo sapiens (Human)	PKHA6_HUMAN	Q9H832
LMTK2	Q8IWU2	22853;	Homo sapiens (Human)	LMTK2_HUMAN	P36873; P41236
SHQ1	Q6PI26	55164;	Homo sapiens (Human)	SHQ1_HUMAN	O60832; Q53SE7; Q96IK5; Q8NEA9
HSD17B7	P56937	51478;	Homo sapiens (Human)	DHB7_HUMAN	
MBTPS1	Q14703	8720;	Homo sapiens (Human)	MBTP1_HUMAN	
IDO1	P14902	3620;	Homo sapiens (Human)	I23O1_HUMAN	
SLC35F2	Q8IXU6	54733;	Homo sapiens (Human)	S35F2_HUMAN	
ARPP19	P56211	10776;	Homo sapiens (Human)	ARP19_HUMAN	P05067; Q5MJ68
ZNF136	P52737	7695;	Homo sapiens (Human)	ZN136_HUMAN	O95273; Q8NHQ1; P49760; Q99750; Q5JR59; Q5JR59-3; Q16623
GOLGB1	Q14789	2804;	Homo sapiens (Human)	GOGB1_HUMAN	P35080
KLHL17	Q6TDP4	339451;	Homo sapiens (Human)	KLH17_HUMAN	P54253; O60260-5; Q13148; P40337-2
ENDOV	Q8N8Q3	284131;	Homo sapiens (Human)	ENDOV_HUMAN	
TAGLN	Q01995	6876;	Homo sapiens (Human)	TAGL_HUMAN	Q9H8Y8; P08069; Q9BSI4
ZBTB43	O43298	23099;	Homo sapiens (Human)	ZBT43_HUMAN	Q8WTP8; Q9BXS5; P36575; P49407; P54253; Q8IYE1; Q8IVW4; Q96Q77; P26196; Q14689-6; Q3B820; P25800; Q8TAP4-4; P61968; Q8TBB1; Q9UBU8-2; Q15014; O43242; Q5T7P8-2; Q15560; O43167; P15622-3; Q8TAU3; Q96SQ5
KDM3A	Q9Y4C1	55818;	Homo sapiens (Human)	KDM3A_HUMAN	O75582; O75582-1; P42224-1
STX1B	P61266	112755;	Homo sapiens (Human)	STX1B_HUMAN	O95870; Q5T8D3-2; Q13520; O15155; Q15125; Q9Y282; Q96MY7; Q5JX71; Q8TBF8; Q9NVF7; P02671-2; P48165; Q8TDT2; O15554; Q8N4V1; Q9H115; O95721; Q5SQN1; P32856-2; Q12846; Q9NRX6; P40222; Q7KZS0; P23763-3; P63027; O95183
ISYNA1	Q9NPH2	51477;	Homo sapiens (Human)	INO1_HUMAN	A8MQ03; Q9NUX5; Q9BUZ4
TPMT	P51580	7172;	Homo sapiens (Human)	TPMT_HUMAN	Q8TAP4-4; Q15047-2; P61981
WDFY2	Q96P53	115825;	Homo sapiens (Human)	WDFY2_HUMAN	Q15041; Q9NS64; P08247; O95070
HDAC6	Q9UBN7	10013;	Homo sapiens (Human)	HDAC6_HUMAN	Q9NQ11; Q9HCU9; P35222; Q14247; Q9NQC7; Q14203-5; P00533; P42858; Q99836; P17252; O60260; O43490; O43490-2; Q13148; Q62623; Q60598; P21146; P04610; P03409
FOSB	P53539	2354;	Homo sapiens (Human)	FOSB_HUMAN	P21549; P15336; Q9BU64; Q02930-3; Q9UIA0; Q9H0I2; Q8WU58; Q86YD7; Q9BZS1; Q9BZE0; P17275; O43639; Q14511-2; Q16236; B7ZLY0; O43189; Q7Z3K3; P78424; Q01974; Q96A09; Q08117-2; O43711; Q14119; Q96K80
SAMM50	Q9Y512	25813;	Homo sapiens (Human)	SAM50_HUMAN	Q9NX63; Q9BRQ6; O00429; O95140
TOPORS	Q9NS56	10210;	Homo sapiens (Human)	TOPRS_HUMAN	P03132
MSI1	O43347	4440;	Homo sapiens (Human)	MSI1H_HUMAN	P52597; P55795; P10636-8; O43347
KLHL28	Q9NXS3	54813;	Homo sapiens (Human)	KLH28_HUMAN	
SECISBP2L	Q93073	9728;	Homo sapiens (Human)	SBP2L_HUMAN	Q96FJ2
CADM4	Q8NFZ8	199731;	Homo sapiens (Human)	CADM4_HUMAN	
SCGB2A1	O75556	4246;	Homo sapiens (Human)	SG2A1_HUMAN	
REXO2	Q9Y3B8	25996;	Homo sapiens (Human)	ORN_HUMAN	
TACC1	O75410	6867;	Homo sapiens (Human)	TACC1_HUMAN	Q9Y297; Q14008; P42858; Q9Y316; Q9H788; Q13190; Q8NHU6; O43422; O95619; Q14008; Q9UK45; P62308; Q8NHU6; Q96GD4; Q14008; Q9UK45; A0A0S2Z507; B7Z3H4; Q9Y297; Q92889; Q9Y247; P42858; Q9Y316; Q9H788; O43422; P10827; Q15911-2; Q96MX3; P63059-1; P63059-2
DLG4	P78352	1742;	Homo sapiens (Human)	DLG4_HUMAN	Q9P021; O14490; Q15303; Q12879; Q13224; Q14957; Q09470; P22459; O60333-3; Q07954; Q00987; Q15311; O43166; P97836-5; Q8VDU0; P10499; P63142; P15384; P15385; Q8R4I7; O60260-5
CSNK1G2	P78368	1455;	Homo sapiens (Human)	KC1G2_HUMAN	Q92624; Q9Y5P4; Q9Y5P4-2; P60409
NRK	Q7Z2Y5	203447;	Homo sapiens (Human)	NRK_HUMAN	
PTPN2	P17706	5771;	Homo sapiens (Human)	PTN2_HUMAN	P10912; Q2GHU2; P49755; Q9BVK6
PRC1	O43663	9055;	Homo sapiens (Human)	PRC1_HUMAN	Q9BW66; P31153; P61925; O94972; O43663-1
FASN	P49327	2194;	Homo sapiens (Human)	FAS_HUMAN	Q15848; P42858; Q8IV20; Q8TBB1; PRO_0000045603 [Q99IB8]
PTER	Q96BW5	9317;	Homo sapiens (Human)	PTER_HUMAN	O15499
GSTZ1	O43708	2954;	Homo sapiens (Human)	MAAI_HUMAN	Q5SYC1; Q9H8Y8; O43708; P16333; Q58EX7; P47897; Q8WWU5-7; Q12933; Q9H0C1
PAK2	Q13177	5062;	Homo sapiens (Human)	PAK2_HUMAN	Q9NYB9-2; Q15052; Q14155; P55210; P60953; P62993; P08631; P42858; P53667; P16333; O43639; Q13177; P63000; P04049; Q9H4E5; Q8TEJ3; Q9BX66; O94875; O60504; P12931; O55043; Q5PP90
SH3BP5L	Q7L8J4	80851;	Homo sapiens (Human)	3BP5L_HUMAN	P06307; Q86XR8-3; Q15006; Q96MY7; O75400-2; Q15907; P61106; P57735; Q9Y371; P51687; P63104
THAP9	Q9H5L6	79725;	Homo sapiens (Human)	THAP9_HUMAN	PRO_0000449621 [P0DTD1]; PRO_0000449633 [P0DTD1]
ACTBL2	Q562R1	345651;	Homo sapiens (Human)	ACTBL_HUMAN	Q8IW35
BNC2	Q6ZN30	54796;	Homo sapiens (Human)	BNC2_HUMAN	P25800
ARHGEF10	O15013	9639;	Homo sapiens (Human)	ARHGA_HUMAN	O15066
AQP4	P55087	361;	Homo sapiens (Human)	AQP4_HUMAN	O43889-2; P48165; Q9UM19; Q5T9L3-1; P55087-1
SERPINE2	P07093	5270;	Homo sapiens (Human)	GDN_HUMAN	Q8IZU0
DBF4	Q9UBU7	10926;	Homo sapiens (Human)	DBF4A_HUMAN	Q13867; O00311; P36544; P14136; P10809; I6L9F6; O60260-5; O00311
NAA35	Q5VZE5	60560;	Homo sapiens (Human)	NAA35_HUMAN	Q147X3; Q9C029
LNX1	Q8TBB1	84708;	Homo sapiens (Human)	LNX1_HUMAN	P01023; Q9NYB9-2; Q9BWD1; P12814; Q08043; O43707; Q96HD9; Q6UY14-3; Q6RW13; Q6RW13-2; Q96BJ3; Q13155; P09972; Q96Q83; Q49AR9; Q9BXS5; Q96GX9; Q9BRG6; P61204; P53365; Q8N5M1; Q8WXE1; P54253; Q9Y2T1; Q8N7W2-2; Q8TD16-2; Q13490; P53004; Q9H2G9; Q96GS4; Q9H0C5; Q9BXJ1; Q9BXJ1-2; P35219; Q9NP86; A2RRN7; Q9H257-2; P55212; Q86XM0; P83916; Q9Y3M2; Q8NA61-2; Q6UXH8-3; Q68D86; A6NC98; Q7Z6B0-2; O95273; P32320; O14735; P55273; Q8NHQ1; Q9P209; Q8TAP6; Q6P2H3-3; Q96Q77; Q14011; P49759-3; P49760; P49761; Q96DZ9-2; P38432; Q96FN4; Q8N684-3; Q8N4Y2-3; O43186; Q9NS75; A8MQ03; O75553; Q9H773; Q9BTE7; P35638; Q92841; Q6P3S1-5; Q9BUN8; Q05D60; P49366; Q14565; G5E9A7; Q9ULA0; Q92785; Q14919; Q9Y295; Q86UW9; Q68J44; Q8WWB3; P63172; Q96F86; Q96G04; O95967; Q5JST6; Q9H6Z9; Q8N9N8; P38919; Q15056; Q8TC92; Q7L775; Q96CN4; Q9Y3B2; Q9NPD3; Q96B26; Q9NWS6; Q86V42; Q86YD7; Q8IZU0; P49327; Q9NXK8; O15409; A1L4K1; P51114-2; P31150; P14136; O76003; Q96IK5; O75496; Q9H4A5; Q92917; O75791; P62993; Q4V328; Q96NT3-2; Q7Z353; V9HW56; V9HWB8; V9HWF5; V9HW80; P07686; Q96MH2; O00291; Q6NT76; Q9NP66; P52597; P31943; Q9NSC5; Q8IX15-3; Q96ED9-2; P49639; O75506; O75031; P42858; Q8IYA8; Q9UKT9; Q14005-2; Q8NBZ0; Q9BT40; Q96PC2; Q9H1K1; Q8WXH2; Q8IYT4; Q719H9; Q8WZ19; Q8NC69; Q96MP8-2; Q7L273; Q5VWX1; Q86T90; Q5T7B8-2; Q9BVG8-5; Q53G59; Q5T749; P19012; P08779; Q07627; P60410; P60328; Q3SY46; Q9BYR9; Q9BYR5; P26371; Q9BYQ4; Q9BYQ3; Q9BYQ0; Q9BQD3; Q6UWP7; Q13094; O43679; O95214; Q8TCE9; P50458; Q17RB8; Q5JTD7; Q9Y333; Q9P127; Q9Y250; Q9Y6D9; Q96M61; P45984; Q15555; Q9Y316; Q6FHY5; Q8WXB1; Q9UJV3-2; Q9UH92-3; Q96HT8; P82932; Q8NCY6; O60682; Q96QG7; Q5JR59; Q5JR59-3; Q9H7P6; Q9P2K5-2; Q15742; O95544; Q9UJ70; Q9UJ70-2; O43639; O14777; Q9UHB4; O14561; P19404; Q8N987; Q7Z6G3-2; Q9HC98; P35240; P15531; Q9Y5B8; Q7Z3S9; P0DPK4; O95848; P37198; Q9NPJ8; Q96M63; Q9P0S3; Q969R2; Q969R2-2; Q9H4L5; Q9UJX0; Q9H8K7; Q15102; P22234; Q9P286; P30039; P61457; Q13370; Q99471; Q9HB19; Q8ND90; Q9UL41; Q96PV4; P11086; Q8WZA1; P78424; P62937; O43447; Q96KQ4; Q9GZV8; P31321; O60260-5; O75569; O14744; P41219; Q9NZ81; Q9NRG1; P62191; Q9UL46; P61289; Q92530; Q03393; Q96QR8; P47897; Q14088; P47224; O75771; Q9Y620; Q53GL6; Q9NYW8; Q9BYM8; Q5T481; P38159; P0DJD3; Q15415; Q96HR9-2; O75679; O76081-6; Q8IUF8; Q9Y3C5; Q96HH0; Q9HAT0; P49247; Q6ZNE9; Q59EK9-3; Q9Y230; P33764; P04271; P21673; Q9UN30-2; Q9UQR0; Q9BWG6; Q8WYJ6; Q96ES7; Q9NUL5-4; P37840; Q9BV90; P09012; P62306; Q02446; Q9NZD8; Q7Z699; P12931; P84103; O43805; Q6ZMT1; Q9HCH5-13; Q9BSH4; Q13148; Q86VP1; Q86TI0; Q5QJ74; Q99081-3; P56279; P48775; Q8WW24; Q96PF1; Q9NVV9; Q9BT49; Q9NWX6; Q8WW34-2; Q13829; P21580; Q13077; Q12933; Q13114; Q9BUZ4; O00463; Q9Y4K3; Q9UDY6-2; Q14142; P19474; P36406; P14373; O75382; Q9HCM9; Q9HCM9-2; Q8IWZ5; Q86XT4; Q9BYV2; Q495X7; Q6AZZ1; Q9BZR9; Q15645; Q15654; Q53H54; Q86WV8; Q99816; Q15631; Q9H2G4; Q96PN8; P57075-2; Q9Y2X8; Q9NZI7; O95045-2; Q70EL1-9; Q6EMK4; P55072; Q2NL98; Q9H9H4; Q8N1B4; Q64LD2-2; P63104; O96006; Q8N680; O43167; Q9HCK0; O43298; Q8TBK6; Q9NTW7; Q8N5A5-2; Q9UQR1-2; O14771; O14978; Q9UL40; Q9BUY5; Q9NWS9-2; Q9H707; Q9P0T4; O00488; Q8N720; Q9UGI0
MDM1	Q8TC05	56890;	Homo sapiens (Human)	MDM1_HUMAN	Q2TAC2-2; Q9NSC5
POLR1B	Q9H9Y6	84172;	Homo sapiens (Human)	RPA2_HUMAN	O95602
B3GALNT2	Q8NCR0	148789;	Homo sapiens (Human)	B3GL2_HUMAN	Q969X1
POLD1	P28340	5424;	Homo sapiens (Human)	DPOD1_HUMAN	Q6UY14-3; A8MQ03; Q53G59; Q14847-2; P12004; P49005; Q9HCU8; Q9NYB0; Q96S55
RPL30	P62888	6156;	Homo sapiens (Human)	RL30_HUMAN	Q5S007
PCDHGB7	Q9Y5F8	56099;	Homo sapiens (Human)	PCDGJ_HUMAN	
PHF20	Q9BVI0	51230;	Homo sapiens (Human)	PHF20_HUMAN	P68431; P62805
APOB	P04114	338;	Homo sapiens (Human)	APOB_HUMAN	P01130; P55157; PRO_0000037946 [P29991]
TNNC1	P63316	7134;	Homo sapiens (Human)	TNNC1_HUMAN	P19237
UBR1	Q8IWV7	197131;	Homo sapiens (Human)	UBR1_HUMAN	P07686; Q7Z699; P02766; P63146
XRCC1	P18887	7515;	Homo sapiens (Human)	XRCC1_HUMAN	Q8IW19; Q7Z2E3; O96017; P61244; P09874; Q96T60; P06746; Q9UNA4; Q9NUW8; P06766
ST6GAL1	P15907	6480;	Homo sapiens (Human)	SIAT1_HUMAN	
ATAD2B	Q9ULI0	54454;	Homo sapiens (Human)	ATD2B_HUMAN	
RSAD1	Q9HA92	55316;	Homo sapiens (Human)	RSAD1_HUMAN	
ZC3H7B	Q9UGR2	23264;	Homo sapiens (Human)	Z3H7B_HUMAN	Q00721
SEC61G	P60059	23480;	Homo sapiens (Human)	SC61G_HUMAN	Q13520; Q96BA8; Q5JX71; P80188; Q8N386; O00623; P11686; Q9NW97
PHAX	Q9H814	51808;	Homo sapiens (Human)	PHAX_HUMAN	
LRP1	Q07954	4035;	Homo sapiens (Human)	LRP1_HUMAN	Q92685; O00213; P02649; P78352; Q15485; Q12879; P30533; P11226; Q63722; Q03350; P05067; Q13867; P04271; Q9UNE7; P43405-2; Q9UBQ0-2
PIM1	P11309	5292;	Homo sapiens (Human)	PIM1_HUMAN	Q8N9N5; Q8N7W2-2; P51813; P07954; P51116; Q96MH2; Q5T203; P39019; P0C1Z6-2; Q9Y2K1; P46527; O43524; Q9BZS1-1; Q9UNQ0; P51813; P17252
AP5M1	Q9H0R1	55745;	Homo sapiens (Human)	AP5M1_HUMAN	Q2VPB7
ZBTB2	Q8N680	57621;	Homo sapiens (Human)	ZBTB2_HUMAN	Q9UER7; P60520; Q9UHH9; Q92993; Q969G2; Q8TBB1; Q6FHY5; Q9UL63; P00540; Q9Y3B7; Q9NRD5; Q13526; Q8NHQ8-2; P08047; P63165; O43463; Q96A09; Q7Z403; Q7KZS0; Q99592; Q8N680; P24278; Q6ZSB9; Q96E35; Q9UID6
ALDOA	P04075	226;	Homo sapiens (Human)	ALDOA_HUMAN	P04075; P09972; P12004; P04075-2; P09972; P42858; P05014
APH1A	Q96BI3	51107;	Homo sapiens (Human)	APH1A_HUMAN	Q86W74-2; P05090; P05067; P07306; Q15438; Q9Y3D6; Q9H0Q3; P06241; P24593; O43561-2; Q6ZSS7; Q00013; Q96G30; Q92542; P57086; Q9Y6X1; Q9NVC3; Q9NUM3; Q0VAQ4; Q9NV12; A2RU14; A5PKU2; P61158
EML6	Q6ZMW3	400954;	Homo sapiens (Human)	EMAL6_HUMAN	
PCSK7	Q16549	9159;	Homo sapiens (Human)	PCSK7_HUMAN	P14136; Q8WXH2; Q92876; P19404; P29474; P16284; P17612; P50454; P37173
ZNF821	O75541	55565;	Homo sapiens (Human)	ZN821_HUMAN	Q96GN5; Q9P1W9; Q92997; Q59EK9-3
ERN2	Q76MJ5	10595;	Homo sapiens (Human)	ERN2_HUMAN	
PTX3	P26022	5806;	Homo sapiens (Human)	PTX3_HUMAN	P08603; P08603-2; O00602; PRO_0000009136 [O00602]; Q15485; P09038; P26022; P98066; P0DTC9; P08603; P08603-2; Q03591
SIPA1L1	O43166	26037;	Homo sapiens (Human)	SI1L1_HUMAN	P78352
C11orf68	Q9H3H3	83638;	Homo sapiens (Human)	CK068_HUMAN	Q15056; Q15233; Q04864; O00560; Q15056-2; Q9UIH9; Q6FHY5; Q15233; Q8N4B1-4; Q04864-2; O00560; Q9UL33-2; Q9BYN7; Q96KM6
SMG5	Q9UPR3	23381;	Homo sapiens (Human)	SMG5_HUMAN	Q92540; Q92900-2
FBXO31	Q5XUX0	79791;	Homo sapiens (Human)	FBX31_HUMAN	Q13315; P24385
DEGS2	Q6QHC5	123099;	Homo sapiens (Human)	DEGS2_HUMAN	
ABTB1	Q969K4	80325;	Homo sapiens (Human)	ABTB1_HUMAN	P54253; Q13618; Q05639; P29692-2; Q13148
HNRNPH3	P31942	3189;	Homo sapiens (Human)	HNRH3_HUMAN	P09651; P61289; Q8WZ73-3; Q5T0L3
ZNF791	Q3KP31	163049;	Homo sapiens (Human)	ZN791_HUMAN	P28799; O76024
RPS23	P62266	6228;	Homo sapiens (Human)	RS23_HUMAN	P43146; Q5S007; Q8N543
FUT10	Q6P4F1	84750;	Homo sapiens (Human)	FUT10_HUMAN	
LRFN4	Q6PJG9	78999;	Homo sapiens (Human)	LRFN4_HUMAN	Q6UY14-3; A8MQ03; Q07627; Q8IUG1; P60410; Q3LI66; Q7Z3S9; P0DPK4; P07237
DNAH7	Q8WXX0	56171;	Homo sapiens (Human)	DYH7_HUMAN	
SIAH1	Q8IUQ4	6477;	Homo sapiens (Human)	SIAH1_HUMAN	Q9NRN7; Q9UHB7; Q9UHB7-2; P29972; Q7Z3E5-2; O15265; P41182; P40121; Q9NVL8; Q9UJX2; P49427; Q8N619; Q8TAM4; Q9UJV9; Q9Y5T4; O14645; P29692; Q8N2X6; Q86YD7; Q01543; Q8TAN2; Q8WTR4; P62805; P05111; Q9H0B3; Q9BW62; P78508; Q8IZA0; Q5T5P2-6; O60333; Q9BVG8; Q53H82; Q13394; P53778; O60336; Q70IA8; Q9H2K0; P20591; Q99836; Q92692; Q9H3P2; Q9H6R4-4; Q96HA8; P35372; Q96DC9; Q86TG7; P08237; Q8IXK0; Q16633; Q8WWY3; P86479; Q8WUK0; Q9UHX1; P11216; Q2TAL8; Q14088; Q96B01; Q96B01-2; Q9Y4B4; Q86WX3; O00560; O43236-6; Q8IUQ4; Q8NEY3; Q9H0A9; O43581; Q9NU19; Q9BTV4; Q6FIE9; Q13625-3; P36406; P14373; Q9C029; P61086; O95045; Q9UBK9; P98170; A2RRL9; Q8TBK6; Q8WW36; Q9BQ24; Q9HA38; Q9UQR1; Q96KM6; Q59GP6; Q64693; Q69ZI1; P69713; Q06481-5; P05067; P05067-2; Q86V38; P54253; A0A0S2Z4M1; O95817; O95429; Q96A83-2; P48730-2; P05111; Q92876; Q9NS86; Q8TC57; Q9UPY8; O75376; Q9BSJ6; Q8WWY3; P86480; Q9H082; Q96B01; P28702-3; Q5VUG0; Q13148; Q9BTV4; P61086; A0A0S2Z639; A0A0S2Z6U5; O95045-2
BACH2	Q9BYV9	60468;	Homo sapiens (Human)	BACH2_HUMAN	Q3KP44; Q9BXS5; Q8TBE0; Q9NR55; Q9HC52; Q8N715; Q6IPU0; Q5T655; Q9UBR2; Q2TBE0; Q14241; Q6UWV6; Q3B820; O95363; P15408; Q9NP66; Q6ZSG2; Q92993; Q9P127; Q9ULX9; O15525; O60675; Q96EZ8; Q9UH92-3; Q9UBU9; P62195; P32969; Q9BUL9; Q9BWG6; O75387; Q8NB12; Q15560; Q9BUZ4; Q8IWZ5; Q9NRE2; O75386; O43167; Q8NCN2; Q15973; Q7Z4V0; Q6NX45; Q3KQV3
ATP2B1	P20020	490;	Homo sapiens (Human)	AT2B1_HUMAN	Q14160
ERV3-1	Q14264	2086;	Homo sapiens (Human)	ENR1_HUMAN	
ADSL	P30566	158;	Homo sapiens (Human)	PUR8_HUMAN	
NQO2	P16083	4835;	Homo sapiens (Human)	NQO2_HUMAN	Q96D03; Q5JVL4; Q9H8Y8; Q8IWL3; A1L1C6; Q9NZD8
PNRC1	Q12796	10957;	Homo sapiens (Human)	PNRC1_HUMAN	Q9H1D9
CMTM3	Q96MX0	123920;	Homo sapiens (Human)	CKLF3_HUMAN	Q6Q788; Q13520; Q3SXY8; Q96BA8; Q9GZR5; P00488; P08034; Q8NBQ5; Q70UQ0-4; Q13651; A8MZ59; Q96AG4; Q5SR56; Q9H8S9; Q70IA8; Q6IN84; Q9H6H4; Q86VR2; Q14973; Q9H169-2; Q8N9I0
NME4	O00746	4833;	Homo sapiens (Human)	NDKM_HUMAN	Q9NYB9-2; P01019; Q9H6L4; Q8N5M1; P54253; Q8WUW1; Q9NWQ9; Q9NX04; Q9NPB3; Q9NP86; Q68D86; Q2TAC2-2; P55273; Q8IYR0; Q99828; Q96Q77; Q9UHD4; Q86UW9; P02042; Q8WUI4-6; O75031; P42858; P03952; P61968; P06858; Q13064; P40692; P15531; P22392; Q9Y5B8; P61970; Q9UBU9; Q9BY11; O15160; P20618; P37840; Q9NZD8; Q9UMX1; Q13148; O14656-2; P0DI81-3; Q15645; Q96PN8; Q6DKK2; Q9BZL1; P40337-2; Q05516
ZNF581	Q9P0T4	51545;	Homo sapiens (Human)	ZN581_HUMAN	Q96CW1; Q9NRW3; Q8WXK3-2; Q7Z3C6-3; Q8N9N5; Q8N9N5-2; A0A087WZT3; Q13895; Q13137; Q9BWT7; Q8NA61; Q8NA61-2; Q96JN2-2; O95273; Q8WUH1; Q9BYD5; A8MQ03; G5E9A7; Q8NF50-2; Q01658; Q92997; O95967; Q9H0I2; Q16134; Q86YD7; Q9NW38; P22607; Q5TD97; A1L4K1; P14136; Q08379; A6NEM1; Q9HD26; Q9Y4H4; P06396; Q9Y5Q9; Q6NT76; P52597; O75031; Q13422; Q14005-2; Q8WXH2; Q5VWX1; Q7Z3Y8; O76011; Q6A162; Q07627; P60409; P60410; P60411; P59991; Q9BYR9; Q9BQ66; Q9BYR5; P26371; Q3LI66; Q8TBB1; Q9BRK4; Q99750; Q5JR59; Q8IV28; Q7Z3S9; P0DPK4; Q9BRQ3; Q5VU43; Q5VU43-2; Q16512; Q9UPG8; Q9H8W4; Q8ND90; Q16633; O43741; Q93062; Q93062-3; Q9UFD9; Q96LW2; Q9H190; Q14140; Q92922; P35711; Q99932-2; Q9NZD8; Q7Z699; Q13148; Q8WW24; Q13077; Q9BUZ4; P36406; P14373; Q15654; P31930; P61758; Q9NZC7-5; Q7L2R6-2; Q3KQV3; Q9UGI0
TRMT2A	Q8IZ69	27037;	Homo sapiens (Human)	TRM2A_HUMAN	Q92624; P23508; Q6FHY5; Q14696; Q9NRD5; Q08117-2; Q96EG3
LYPLA1	O75608	10434;	Homo sapiens (Human)	LYPA1_HUMAN	Q08379; Q5VUG0
CCDC59	Q9P031	29080;	Homo sapiens (Human)	TAP26_HUMAN	P43361; P43699
FOXQ1	Q9C009	94234;	Homo sapiens (Human)	FOXQ1_HUMAN	
PLK2	Q9NYY3	10769;	Homo sapiens (Human)	PLK2_HUMAN	Q86Y33; Q9HC77
SUSD1	Q6UWL2	64420;	Homo sapiens (Human)	SUSD1_HUMAN	
GPC1	P35052	2817;	Homo sapiens (Human)	GPC1_HUMAN	Q6PRD1; Q8C419
DNAJC1	Q96KC8	64215;	Homo sapiens (Human)	DNJC1_HUMAN	Q6RW13-2; P27449; P13569; Q96FZ5; P78329; P13473-2; Q04941; P01011; Q9Y371; Q5SNT2-2; O14798
MX2	P20592	4600;	Homo sapiens (Human)	MX2_HUMAN	Q8WXE1; A2ABF9; Q96KQ7; O75928
AXIN1	O15169	8312;	Homo sapiens (Human)	AXIN1_HUMAN	Q5JTC6; P39687; P25054; P49407; O15169; Q13137; Q9H257-2; Q2TAC2-2; Q14194; P49674; P35222; Q5VWQ8-2; O14641; Q9UKB1; Q08379; P49840; P49841; P14923; Q6A162; Q9BQ66; Q9BYR5; Q969G2; Q99750; Q6FHY5; Q9UJV3-2; Q5JR59-3; P01106; P35813; P62136; O43586; Q6ZNA4; Q96KG9-4; O15105; Q7Z699; O75558; P63165; G2XKQ0; Q9UBB9; Q15583; Q9H2K2; P04637; Q12933; Q9C019; P14373; Q14134; O94972; Q15654; P23258; Q9H7D7; P46937; Q9HCK0; Q96K21-3; P70039; Q02248; G1T8E2; Q99ML9; O75581
SOX3	P41225	6658;	Homo sapiens (Human)	SOX3_HUMAN	P54253; O43186; Q12933
SNAP25	P60880	6616;	Homo sapiens (Human)	SNP25_HUMAN	Q16623; Q8IUH5; PRO_0000449622 [P0DTD1]; O14810; P42858; O75558; Q8N4C7; Q16623; Q9BRT2; Q13360-2; P32851
DDX41	Q9UJV9	51428;	Homo sapiens (Human)	DDX41_HUMAN	Q96BJ3; Q8NHQ1; P42858; Q8N5F7; Q5M9Q1; Q8IUQ4
DBR1	Q9UK59	51163;	Homo sapiens (Human)	DBR1_HUMAN	
ZFP36L2	P47974	678;	Homo sapiens (Human)	TISD_HUMAN	
STK10	O94804	6793;	Homo sapiens (Human)	STK10_HUMAN	O94804
