From	Entry	GeneID	Organism	Entry Name	Interacts with
MRPS18C	Q9Y3D5	51023;	Homo sapiens (Human)	RT18C_HUMAN	
TMEM234	Q8WY98	56063;	Homo sapiens (Human)	TM234_HUMAN	Q13520; Q6PL45-2; Q96BA8; Q07325; Q96D05-2; Q14973; Q3KNW5; Q8N130; Q7Z769; Q0VAQ4; Q6UX40; Q969S6; A2RU14; Q53HI1; Q9UEU0
GOT1	P17174	2805;	Homo sapiens (Human)	AATC_HUMAN	
C15orf48	Q9C002	84419;	Homo sapiens (Human)	NMES1_HUMAN	P42858
SETD3	Q86TU7	84193;	Homo sapiens (Human)	SETD3_HUMAN	P12004
TUBA1C	Q9BQE3	84790;	Homo sapiens (Human)	TBA1C_HUMAN	P13473-2; O75400-2; Q9Y371; P13693; P08670
RAD1	O60671	5810;	Homo sapiens (Human)	RAD1_HUMAN	O60921; O60260-5; Q99638
PRMT3	O60678	10196;	Homo sapiens (Human)	ANM3_HUMAN	Q8N7W2-2; Q6FHY5; Q8WWB5; P15880
KCTD10	Q9H3F6	83892;	Homo sapiens (Human)	BACD3_HUMAN	Q13618; Q92997; Q9H3F6; Q8WZ19; Q96HA8; Q15560; Q8IYF3-3; Q13829
FAM200A	Q8TCP9	221786;	Homo sapiens (Human)	F200A_HUMAN	Q14498-3; Q3MIN7; G2XKQ0
GPR34	Q9UPC5	2857;	Homo sapiens (Human)	GPR34_HUMAN	
BPGM	P07738	669;	Homo sapiens (Human)	PMGE_HUMAN	P15259
RBFOX2	O43251	23543;	Homo sapiens (Human)	RFOX2_HUMAN	P54253; Q8N9W6; Q6P1W5; Q13554; O75553; Q15038; P03372; P52597; Q9Y5V3; Q8NDC0; Q96HR8; P25788; Q96PU8; Q9NWB1; Q9BQY4; O76064; Q08AM6; P42858; A0A142I5B9; P54253; P0C7T5; Q8N9W6-4; Q9UQM7; Q8IWX8; Q15038; A1KXE4-2; P52597; P31943; Q3LI66; Q9Y5V3; Q8TDS5; Q15365; Q93062-3; Q6ZRY4; Q9BQY4; O76064; Q96LM6; Q9UHD9
KATNAL1	Q9BW62	84056;	Homo sapiens (Human)	KATL1_HUMAN	Q9H1I8; Q13895; Q9NX04; Q8IYX8; Q8IYX8-2; Q14061; Q9UI47-2; Q96CN9; P43080; Q8NA54; Q9BW62; Q9BVA0; Q9H079; Q9NSK0; Q6FHY5; P15259; Q9UKF7-2; Q8IUQ4; O75351; Q9UC07; Q9UC07-2
NHEJ1	Q9H9Q4	79840;	Homo sapiens (Human)	NHEJ1_HUMAN	P49917; Q13426; Q13426; Q13426-2
SNAPC5	O75971	10302;	Homo sapiens (Human)	SNPC5_HUMAN	Q4VCS5-2; Q8WWE8; P35638-2; Q9GZM8; Q13287; O94818-2; Q8NFP7; P37198; O60232; A2BDD9; Q9NXL2-1; Q13515; P78537; Q8NA61-2; A0A1B0GWI1; Q53HL2; Q02930-3; Q15438; Q9Y6C2-2; Q8IZT9; P47211; Q5T7V8; Q4V328; Q9P0W2; Q13352; P25791-3; Q8WWY6; Q96EZ8; P13349; Q9GZM8; Q13287; O94818-2; P52435; P78317; Q8WXG8; Q9H169-2; P0DI81-3; Q8N3L3; Q13360-2
TMEM63C	Q9P1W3	57156;	Homo sapiens (Human)	CSC1_HUMAN	
CNGA1	P29973	1259;	Homo sapiens (Human)	CNGA1_HUMAN	Q5ICW4; Q9JLM9
IGSF8	Q969P0	93185;	Homo sapiens (Human)	IGSF8_HUMAN	Q07627; Q8IUG1; P60372; P60409; P60410; P60411; Q9BYR9; Q6L8G8; P22735
NELFCD	Q8IXH7	51497;	Homo sapiens (Human)	NELFD_HUMAN	P10398; O14901; Q9H3P2; Q8WX92-2; Q9BVL2; Q7Z699; A0A1U9X8X8; Q9H3P2
KRT8	P05787	3856;	Homo sapiens (Human)	K2C8_HUMAN	Q86XR8-3; P13569; P62993; Q9Y6K9; A1A4E9; P19012; P08779; P05783; P08727; Q2M2I5; Q7Z3Z0; Q7Z3Y8; Q7Z3Y7; Q15323; Q14525; O76011; Q92764; O76013-2; O76015; Q6A162; O75022; Q9HC98-4; Q13835-2; Q9UBB9; P08670; P14079; Q86V38; A1A4E9
WDR91	A4D1P6	29062;	Homo sapiens (Human)	WDR91_HUMAN	P42858; Q562E7
ZSCAN9	O15535	7746;	Homo sapiens (Human)	ZSC9_HUMAN	Q9NX04; Q96EF6; Q14192; P55040; P14136; P28799; O43464; P42858; Q8WXH2; Q92993; O60333-2; Q8TAP4-4; Q9H213; P07196; P62937-2; P17252; P60891; Q15047-2; Q7Z699; P78362; O76024; P61981; Q9NWS9; Q9NWS9-2; P10073; Q3MJ62
NAV2	Q8IVL1	89797;	Homo sapiens (Human)	NAV2_HUMAN	Q7Z6V5; Q5T655; Q9UNL4; Q8WYH8; Q9UBU8; O75928; Q96T37; Q8NDT2; Q8NDT2-2
TSPAN6	O43657	7105;	Homo sapiens (Human)	TSN6_HUMAN	
HMGN2	P05204	3151;	Homo sapiens (Human)	HMGN2_HUMAN	Q15554
PTPRD	P23468	5789;	Homo sapiens (Human)	PTPRD_HUMAN	O14965
RARB	P10826	5915;	Homo sapiens (Human)	RARB_HUMAN	O95273; P50222; Q9UBK2; P62195; P28702; P28702-3; P48443; P03255
TES	Q9UGI8	26136;	Homo sapiens (Human)	TES_HUMAN	Q9Y615; Q8N8S7; Q7Z699
GLB1L	Q6UWU2	79411;	Homo sapiens (Human)	GLB1L_HUMAN	
PPIF	P30405	10105;	Homo sapiens (Human)	PPIF_HUMAN	Q9NYB9; Q9NYB9-2; Q6RW13-2; PRO_0000000092 [P05067]; P53365; Q8N9N5; Q9UHD4; Q96DZ9; B3EWG5; Q9Y680; P43364; P15941-11; Q04118; P08247; Q16563; P04637; O95070
LGALS1	P09382	3956;	Homo sapiens (Human)	LEG1_HUMAN	Q13740; P02649; P27797; P30203; P36957; P35968; Q8TDX7; P16284; P08575
THNSL2	Q86YJ6	55258;	Homo sapiens (Human)	THNS2_HUMAN	
NFYC	Q13952	4802;	Homo sapiens (Human)	NFYC_HUMAN	P23511; P25208; Q8IZF2; Q9BRG6; Q9BUT1; Q8TAP6; Q8N365; O43186; Q8TB03; Q01658; P32519; Q92567-2; B7ZLH0; O14964; Q96LI6; O14901; Q9UIH9; Q96G42; Q6MZP7; P61968; P23511-2; P25208; Q3KNR5; Q02548; P26367; Q7Z3K3; Q14863; P78424; P86480; P43351; Q9UBE0; Q8IYB5-2; Q02086-2; Q02446; Q12772; Q6ZVD7; O94888; O95789-4; Q8NBB4-2
OSBPL5	Q9H0X9	114879;	Homo sapiens (Human)	OSBL5_HUMAN	
GALK1	P51570	2584;	Homo sapiens (Human)	GALK1_HUMAN	Q9NPJ4
OAT	P04181	4942;	Homo sapiens (Human)	OAT_HUMAN	P05067
CD276	Q5ZPR3	80381;	Homo sapiens (Human)	CD276_HUMAN	
